,title,id,price,location,mileage,year,fuel_type,transmission,body type,color,doors,engine_size,co2_transmission,review_count,rating
0,Ford Fiesta,1131513,"10,200",Bristol Street Motors Ford Birmingham,"30,781",2016,Petrol,Manual,Hatchback,White,3,1.0 L,99 g/km,373,4.0
1,Ford Fiesta,1128402,"11,350",Bristol Street Motors Ford Birmingham,"20,986",2019,Petrol,Manual,Hatchback,Race red (standard colour),5,1.1 L,114 g/km,373,4.0
2,Peugeot 208,1130376,"11,850",Bristol Street Motors Ford Birmingham,"16,201",2019,Petrol,Manual,Hatchback,Black,5,1.2 L,110 g/km,24,4.5
3,Vauxhall Astra,1129335,"11,950",Bristol Street Motors Ford Birmingham,"50,071",2019,Petrol,Manual,Estate,Black,5,1.4 L,125 g/km,368,4.0
4,Ford Fiesta,1127601,"13,150",Bristol Street Motors Ford Birmingham,"15,606",2019,Petrol,Manual,Hatchback,Blue,5,1.0 L,113 g/km,373,4.0
5,Peugeot 3008,1130484,"15,500",Bristol Street Motors Ford Birmingham,"55,924",2018,Diesel,Manual,Estate,Black,5,1.6 L,104 g/km,28,4.5
6,Ford Focus,1128401,"15,850",Bristol Street Motors Ford Birmingham,"45,648",2020,Petrol,Automatic,Hatchback,Grey,5,1.0 L,134 g/km,620,4.0
7,Jaguar XJ,1127247,"16,000",Bristol Street Motors Ford Birmingham,"39,139",2011,Diesel,Automatic,Saloon,Red,4,3.0 L,184 g/km,39,4.5
8,SEAT Ibiza,1129829,"16,350",Bristol Street Motors Ford Birmingham,"14,178",2020,Petrol,Manual,Hatchback,Red,5,1.0 L,107 g/km,47,4.0
9,Audi A3,1127254,"16,650",Bristol Street Motors Ford Birmingham,"41,941",2018,Petrol,Manual,Hatchback,White,5,1.0 L,108 g/km,76,4.5
10,BMW 1 Series,1127015,"17,000",Bristol Street Motors Ford Birmingham,"14,304",2018,Petrol,Manual,Hatchback,White,5,1.5 L,126 g/km,31,4.0
11,Ford Fiesta,1131512,"17,450",Bristol Street Motors Ford Birmingham,"11,867",2020,Petrol,Manual,Hatchback,Silver,5,1.0 L,121 g/km,373,4.0
12,Ford Puma,1127249,"18,650",Bristol Street Motors Ford Birmingham,"20,391",2020,Petrol,Manual,Hatchback,Red,5,1.0 L,133 g/km,9,4.0
13,Volkswagen Golf,1126690,"19,100",Bristol Street Motors Ford Birmingham,"32,945",2019,Petrol,Manual,Hatchback,White,5,1.5 L,120 g/km,157,4.5
14,Ford S-MAX,1130488,"19,240",Bristol Street Motors Ford Birmingham,"48,535",2019,Diesel,Automatic,Estate,Grey,5,2.0 L,139 g/km,25,4.5
